gpsTOW	cT	EKF VelN	EKF VelE	EKF VelD	EKF PosN	EKF PosE	EKF PosD	EKF Roll	EKF Pitch	EKF Yaw	EKF Lat	EKF Lon	EKF Alt	CMP VelN	CMP VelE	CMP VelD	CMP PosN	CMP PosE	CMP PosD	CMP Roll	CMP Pitch	CMP Yaw	CMP Lat	CMP Lon	CMP Alt	GPS Lat	GPS Lon	GPS Alt	GPS VelN	GPS VelE	GPS VelD	AccelX	AccelY	AccelZ	GyroX	GyroY	GyroZ	MagX	MagY	MagZ	piAlpha	piPfwd	piP45	ardAlpha	ardPfwd	ardP45	Alpha	Beta
413338450.0000000	18725.0000000	-0.0062658	-0.0747378	-0.0600000	1.5206683	3.9829886	3.6100006	-1.1220546	2.4109404	124.9630127	29.1816284	-81.0454615	-16.5909996	0.0851801	-0.0754328	-0.1001667	0.3271555	0.0903367	16.6924839	-2.4375000	-2.0625000	34.6645699	29.1816250	-81.0454615	-16.6924839	29.1816284	-81.0454615	-16.5909996	0.0710000	0.0260000	-0.0600000	0.3700000	-0.3600000	9.9499998	-0.0000000	-0.1250000	0.1875000	-27.7500000	-17.0625000	31.8750000	147.2484283	8151.0000000	8144.0000000	34.2000008	8133.0000000	8125.0000000	-0.0719632	0.1302442
413338475.0000000	18750.0000000	-0.0062658	-0.0747378	-0.0600000	1.5206683	3.9829886	3.6100006	-1.1219877	2.4090250	124.9662094	29.1816284	-81.0454615	-16.5909996	0.0854163	-0.0855370	-0.1062092	0.3271614	0.0900841	16.6926346	-2.4375000	-2.0625000	37.0918770	29.1816250	-81.0454615	-16.6926346	29.1816284	-81.0454615	-16.5909996	0.0710000	0.0260000	-0.0600000	0.3900000	-0.3300000	10.0900002	-0.0625000	-0.0625000	0.0625000	-27.3750000	-18.5000000	31.8750000	41.7380257	8148.0000000	8147.0000000	33.6599998	8130.0000000	8123.0000000	-0.2811546	0.9031137
413338500.0000000	18775.0000000	-0.0097746	-0.1165910	-0.0560000	1.5206683	3.9829886	3.6660004	-1.1212717	2.4078298	124.9662628	29.1816284	-81.0454615	-16.5349998	0.0406317	-0.0118747	-0.0881080	0.3297985	0.0899303	16.6296310	-2.4375000	-2.0625000	37.0918770	29.1816250	-81.0454615	-16.6296310	29.1816284	-81.0454615	-16.5349998	-0.0260000	0.1140000	-0.0560000	0.3800000	-0.3500000	9.9799995	0.0625000	-0.0625000	-0.0625000	-27.3750000	-18.5000000	31.8750000	28.4059258	8145.0000000	8141.0000000	33.7799988	8133.0000000	8128.0000000	-0.4834926	2.4228930
413338525.0000000	18800.0000000	-0.0097746	-0.1165910	-0.0560000	1.5206683	3.9829886	3.6660004	-1.1166790	2.4081059	124.9664917	29.1816284	-81.0454615	-16.5349998	0.0404216	-0.0217205	-0.0934267	0.3297933	0.0896842	16.6297646	-2.4375000	-2.0625000	35.1328888	29.1816250	-81.0454615	-16.6297646	29.1816284	-81.0454615	-16.5349998	-0.0260000	0.1140000	-0.0560000	0.3600000	-0.3400000	10.0600004	-0.1250000	0.0000000	0.1250000	-28.1875000	-17.7500000	31.0625000	-55.6485672	8145.0000000	8144.0000000	32.0400009	8127.0000000	8128.0000000	-0.0971251	-0.0404229
413338550.0000000	18825.0000000	-0.0097746	-0.1165910	-0.0560000	1.5206683	3.9829886	3.6660004	-1.1166724	2.4077227	124.9680939	29.1816284	-81.0454615	-16.5349998	0.0400563	-0.0320470	-0.0967279	0.3297842	0.0894260	16.6298466	-2.4375000	-2.0625000	35.1328888	29.1816250	-81.0454615	-16.6298466	29.1816284	-81.0454615	-16.5349998	-0.0260000	0.1140000	-0.0560000	0.3700000	-0.3600000	9.9799995	0.0625000	-0.0625000	-0.0000000	-28.1875000	-17.7500000	31.0625000	51.3298798	8145.0000000	8150.0000000	33.3199997	8133.0000000	8131.0000000	0.0950949	0.0382772
413338575.0000000	18850.0000000	-0.0097746	-0.1165910	-0.0560000	1.5206683	3.9829886	3.6660004	-1.1144856	2.4064825	124.9657974	29.1816284	-81.0454615	-16.5349998	0.0393630	-0.0423026	-0.1025471	0.3297668	0.0891696	16.6299915	-2.4375000	-2.0625000	36.3523483	29.1816250	-81.0454615	-16.6299915	29.1816284	-81.0454615	-16.5349998	-0.0260000	0.1140000	-0.0560000	0.3600000	-0.3600000	10.0799999	0.0625000	-0.0625000	-0.1875000	-27.3750000	-18.0625000	30.5625000	41.7380257	8148.0000000	8147.0000000	32.4000015	8130.0000000	8131.0000000	0.5778558	0.5472006
413338600.0000000	18875.0000000	-0.0042607	-0.0508217	-0.0680000	1.5206683	3.9829886	3.7450008	-1.1122999	2.4068048	124.9634781	29.1816284	-81.0454615	-16.4559994	0.0257682	-0.0114596	-0.0910155	0.3324032	0.0890177	16.5604515	-2.4375000	-2.0625000	36.3523483	29.1816250	-81.0454615	-16.5604515	29.1816284	-81.0454615	-16.4559994	0.0060000	0.0500000	-0.0680000	0.3700000	-0.3500000	10.0000000	0.0625000	0.0625000	-0.0000000	-27.3750000	-18.0625000	30.5625000	45.7999268	8148.0000000	8144.0000000	35.0200005	8136.0000000	8125.0000000	1.4521582	1.8197966
413338625.0000000	18900.0000000	-0.0042607	-0.0508217	-0.0680000	1.5206683	3.9829886	3.7450008	-1.1079172	2.4079225	124.9613571	29.1816284	-81.0454615	-16.4559994	0.0251293	-0.0217283	-0.0970825	0.3323872	0.0887610	16.5606041	-2.4375000	-2.0625000	36.0927811	29.1816250	-81.0454615	-16.5606041	29.1816284	-81.0454615	-16.4559994	0.0060000	0.0500000	-0.0680000	0.3600000	-0.3600000	10.0900002	-0.1250000	-0.0625000	-0.1250000	-27.7500000	-18.0625000	31.8750000	-123.2808990	8143.0000000	8144.0000000	32.4000015	8130.0000000	8131.0000000	2.6982286	4.0811377
413338650.0000000	18925.0000000	-0.0042607	-0.0508217	-0.0680000	1.5206683	3.9829886	3.7450008	-1.1095650	2.4074950	124.9606094	29.1816284	-81.0454615	-16.4559994	0.0246023	-0.0320539	-0.1006399	0.3323741	0.0885028	16.5606937	-2.4375000	-2.0625000	36.0927811	29.1816250	-81.0454615	-16.5606937	29.1816284	-81.0454615	-16.4559994	0.0060000	0.0500000	-0.0680000	0.3700000	-0.3600000	9.9899998	-0.0625000	0.0000000	0.0625000	-27.7500000	-18.0625000	31.8750000	62.0277252	8145.0000000	8147.0000000	33.3199997	8133.0000000	8131.0000000	0.1082588	-0.0323898
413338675.0000000	18950.0000000	-0.0042607	-0.0508217	-0.0680000	1.5206683	3.9829886	3.7450008	-1.1111485	2.4086595	124.9614029	29.1816284	-81.0454615	-16.4559994	0.0243798	-0.0422534	-0.1061943	0.3323685	0.0882478	16.5608330	-2.4375000	-2.0625000	35.6033478	29.1816250	-81.0454615	-16.5608330	29.1816284	-81.0454615	-16.4559994	0.0060000	0.0500000	-0.0680000	0.3700000	-0.3500000	10.0699997	-0.1250000	0.0625000	-0.0000000	-27.7500000	-17.7500000	31.3750000	41.7380257	8148.0000000	8147.0000000	33.7799988	8133.0000000	8128.0000000	-0.1069338	0.0304449
